1 Barbarian. 12+CoM St,Co Light,.Medium Simple,.Martial . 1.Greataxe,.2.Handaxes,.Explorer's.Pack,.4.Javelins Rage,.Unarmored.Defense 2,.Animal.Handling,.Athletics,.Intimidation,.Nature,.Perception,.Survival
2 Bard. 8+CoM De,Ch Light. Simple.Hand.Crossbows Any.3.Musical.Instruments 1.Rapier,.Diplomat's.Pack,.Lute,.Leather.Armor,.Dagger Spellcasting,.Bardic.Inspiration 3,.Athletics,.Acrobatics,.Sleight.of.Hand,.Stealth,.Arcana,.History,.Investigation,.Nature,.Religion,.Animal.Handling,.Insight,.Medicine,.Perception,.Survival,.Deception,.Intimidation,.Performance,.Persuasion
3 Cleric. 8+CoM Wi,Ch Light,.Medium,.Shields Simple. . 1.Mace,.Light.Crossbow(20.Bolts),.Priest's.Pack,.Shield,.Holy.Symbol Spellcasting,.Divine.Domain 2,.History,.Insight,.Medicine,.Persuasion,.Religion
4 Druid. 8+CoM In,Wi Light,.Medium,.Shields Clubs,.Daggers,.Darts,.Javelins,.Maces,.Quarterstaffs,.Scimitars,.Sickles,.Slings,.Spears Herbalism.Kit Wooden.Shield,.Scimitar Druidic,.Spellcasting 2,.Arcana,.Animal.Handling,.Insight,.Medicine,.Nature,.Perception,.Religion,.Survival
5 Fighter. 10+CoM St,Co All.armor,.Shields Simple,.Martial . Chain.Mail,.1.Small.Martial.Weapon.+.Shield,.Light.Crossbow(20.Bolts),.Dungeoneer’s.pack Fighting.Style,.Second.Wind 2,.Acrobatics,.Animal.Handling,.Athletics,.History,.Insight,.Intimidation,.Perception,.Survival
6 Monk. 8+CoM St,De None. Simple,.Shortswords 1.Artisan.tool/1.Musical.Instrument 1.Shortsword,.Dungeoneer’s.pack,.10.Darts Unarmored.Defense,.Martial.Arts 2,.Acrobatics,.Athletics,.History,.Insight,.Religion,.Stealth
7 Paladin. 10+CoM Wi,Ch All.armor,.Shields Simple,.Martial . 1.Martial.Weapon.+.Shield,.5.Javelins,.Priest's.Pack,.Holy.Symbol Divine.Sense,.Lay.On.Hands 2,.Athletics,.Insight,.Intimidation,.Medicine,.Persuasion,.Religion
8 Ranger. 10+CoM St,De Light,.Medium,.Shields Simple,.Martial . 1.Scale.Mail,.2.Shortswords,.Dungeoneer’s.pack,.Longbow(20.arrows) Favored.Enemy,.Natural.Explorer 3,.Animal.Handling,.Athletics,.Insight,.Investigation,.Nature,.Perception,.Stealth,.Survival
9 Rogue. 8+CoM De,In Light. Simple,.Hand.Crossbows,.Longswords,.Rapiers,.Shortswords Thieves'.Tools 1.Rapier,.Shortbow(20.arrows),.Burglar’s.pack,.Leather.armor,.2.Daggers,.Thieves’.Tools Expertise,.Sneak.Attack,.Thieves’.Cant 4,.Acrobatics,.Athletics,.Deception,.Insight,.Intimidation,.Investigation,.Perception,.Performance,.Persuasion,.Sleight.of.Hand,.Stealth
10 Sorcerer. 6+CoM Co,Ch None. Daggers,.Darts,.Slings,.Quarterstaffs,.Light.Crossbows . Light.Crossbow(20.bolts),.Component.Pouch,.Dungeoneer’s.pack,.2.Daggers Spellcasting,.Sorcerous.Origin 2,.Arcana,.Deception,.Insight,.Intimidation,.Persuasion,.Religion
11 Warlock. 8+CoM Wi,Ch Light. Simple. . Light.Crossbow(20.bolts),.Component.Pouch,.Scholar's.Pack,.Leather.Armor,.1.Simple.Weapon,.2.Daggers Otherwordly.Patron,.Pact.Magic 2,.Arcana,.Deception,.History,.Intimidation,.Investigation,.Nature,.Religion
12 Wizard. 6+CoM In,Wi None. Daggers,.Darts,.Slings,.Quarterstaffs,.Light.Crossbows . 1.Quarterstaff,.Dungeoneer’s.pack,.Spellbook Spellcasting,.Arcane.Recovery 2,.Arcana,.History,.Insight,.Investigation,.Medicine,.Religion
13 Artificer. 8+CoM Co,In Light,.Medium,.Shields Simple. Thieves’tools,.Tinker’s.Tools,.1.Artisan’s.Tool 2.Simple.Weapons,.Light.Crossbow(20.bolts),.Studded.Leather.Armor,.Thieve's.tools,.Dungeoneer’s.Pack Spellcasting,.Magical.Tinkering 2,.Arcana,.History,.Investigation,.Medicine,.Nature,.Perception,.Sleight.of.Hand
14 Blood.Hunter. 10+CoM De,In Light,.Medium,.Shields Simple,.Martial Alchemist's.Supplies 1.Martial.Weapon,.Light.Crossbow(20.bolts),.Studded.Leather.Armor,.Explorer's.Pack Hunter's.Bane,.Blood.Maledict 3,.Athletics,.Acrobatics,.Arcana,.History,.Insight,.Investigation,.Religion,.Survival
